time	H2Oconcentration_ppm	CO2concentration_ppm	CH4concentration_ppm	N2Oconcentration_ppb
2025-10-31 07:13:40.0	10185.373	8921.46	8.042	1148.593
2025-10-31 07:13:41.0	10169.564	8908.091	8.041	1148.219
2025-10-31 07:13:42.0	10172.171	8908.748	8.05	1148.653
2025-10-31 07:13:43.0	10176.635	8909.27	8.051	1149.106
2025-10-31 07:13:44.0	10186.767	8909.206	8.049	1148.596
2025-10-31 07:13:45.0	10197.891	8909.301	8.047	1148.81
2025-10-31 07:13:46.0	10203.759	8904.421	8.045	1148.957
2025-10-31 07:13:47.0	10214.38	8902.985	8.047	1148.315
2025-10-31 07:13:48.0	10216.33	8901.068	8.046	1149.685
2025-10-31 07:13:49.0	10220.525	8905.344	8.046	1149.647
2025-10-31 07:13:50.0	10215.911	8901.769	8.049	1149.11
2025-10-31 07:13:51.0	10215.426	8897.194	8.044	1149.231
2025-10-31 07:13:52.0	10226.207	8902.652	8.042	1148.715
2025-10-31 07:13:53.0	10220.802	8902.605	8.03	1147.913
2025-10-31 07:13:54.0	10207.772	8891.165	8.026	1147.83
2025-10-31 07:13:55.0	10211.728	8884.004	8.019	1146.673
2025-10-31 07:13:56.0	10238.744	8907.379	8.026	1147.214
2025-10-31 07:13:57.0	10232.185	8914.88	8.032	1147.946
2025-10-31 07:13:58.0	10219.787	8908.008	8.033	1147.784
2025-10-31 07:13:59.0	10208.667	8899.073	8.023	1147.144
2025-10-31 07:14:00.0	10212.858	8898.159	8.015	1146.906
2025-10-31 07:14:01.0	10225.215	8906.046	8.019	1147.635
2025-10-31 07:14:02.0	10228.515	8904.734	8.022	1148.119
2025-10-31 07:14:03.0	10238.171	8909.422	8.031	1148.269
2025-10-31 07:14:04.0	10244.638	8914.612	8.024	1147.648
2025-10-31 07:14:05.0	10249.649	8918.03	8.021	1147.546
2025-10-31 07:14:06.0	10241.817	8917.957	8.021	1147.439
2025-10-31 07:14:07.0	10211.746	8904.263	8.011	1147.577
2025-10-31 07:14:08.0	10209.324	8905.102	8.007	1146.9
2025-10-31 07:14:09.0	10222.869	8922.813	8.006	1145.796
2025-10-31 07:14:10.0	10198.482	8912.875	8.015	1146.54
2025-10-31 07:14:11.0	10181.744	8887.661	8.023	1146.818
2025-10-31 07:14:12.0	10194.914	8891.437	8.017	1146.003
2025-10-31 07:14:13.0	10208.589	8909.37	8.014	1146.505
2025-10-31 07:14:14.0	10194.319	8909.011	8.011	1146.603
2025-10-31 07:14:15.0	10179.619	8898.347	8.013	1147.393
2025-10-31 07:14:16.0	10168.499	8887.634	8.008	1147.376
2025-10-31 07:14:17.0	10162.77	8881.693	8.003	1147.49
2025-10-31 07:14:18.0	10157.248	8872.827	8.001	1148.012
2025-10-31 07:14:19.0	10152.852	8858.164	7.991	1146.533
2025-10-31 07:14:20.0	10150.145	8847.986	7.996	1147.176
2025-10-31 07:14:21.0	10165.496	8852.118	8.003	1148.133
2025-10-31 07:14:22.0	10177.609	8858.871	8.002	1147.121
2025-10-31 07:14:23.0	10181.416	8865.346	8.003	1148.504
2025-10-31 07:14:24.0	10175.236	8855.026	8.002	1148.54
2025-10-31 07:14:25.0	10169.184	8846.366	8.006	1148.211
2025-10-31 07:14:26.0	10166.274	8849.434	8.008	1148.872
2025-10-31 07:14:27.0	10149.288	8838.341	7.998	1147.391
2025-10-31 07:14:28.0	10145.024	8827.941	8.001	1147.485
2025-10-31 07:14:29.0	10160.678	8830.069	8.001	1147.866
2025-10-31 07:14:30.0	10165.3	8837.297	8.001	1148.036
2025-10-31 07:14:31.0	10149.107	8833.542	7.998	1147.175
2025-10-31 07:14:32.0	10139.442	8823.878	8.001	1147.476
2025-10-31 07:14:33.0	10133.49	8817.379	8.006	1147.45
2025-10-31 07:14:34.0	10141.162	8818.068	8.01	1147.841
2025-10-31 07:14:35.0	10156.266	8827.241	8.007	1146.786
2025-10-31 07:14:36.0	10181.538	8838.826	8.009	1147.359
2025-10-31 07:14:37.0	10204.99	8849.16	8.009	1147.368
2025-10-31 07:14:38.0	10206.027	8846.73	8.013	1146.796
2025-10-31 07:14:39.0	10211.421	8850.768	8.017	1148.023
2025-10-31 07:14:40.0	10207.135	8846.047	8.022	1148.061
2025-10-31 07:14:41.0	10203.544	8837.528	8.021	1148.049
2025-10-31 07:14:42.0	10203.726	8830.362	8.03	1149.195
2025-10-31 07:14:43.0	10199.18	8825.899	8.024	1147.636
2025-10-31 07:14:44.0	10189.643	8816.808	8.025	1147.97
2025-10-31 07:14:45.0	10194.671	8809.406	8.031	1148.303
2025-10-31 07:14:46.0	10206.539	8817.656	8.037	1148.436
2025-10-31 07:14:47.0	10212.64	8824.825	8.035	1147.727
2025-10-31 07:14:48.0	10200.338	8823.103	8.04	1146.983
2025-10-31 07:14:49.0	10197.379	8818.044	8.048	1147.119
2025-10-31 07:14:50.0	10189.097	8812.585	8.05	1147.583
2025-10-31 07:14:51.0	10188.114	8808.044	8.057	1147.575
2025-10-31 07:14:52.0	10196.084	8813.82	8.061	1148.395
2025-10-31 07:14:53.0	10207.248	8813.724	8.066	1148.724
2025-10-31 07:14:54.0	10210.084	8816.014	8.067	1147.872
2025-10-31 07:14:55.0	10209.212	8814.819	8.057	1146.877
2025-10-31 07:14:56.0	10210.596	8818.742	8.065	1147.598
2025-10-31 07:14:57.0	10207.815	8816.662	8.068	1147.028
2025-10-31 07:14:58.0	10198.278	8810.505	8.078	1147.412
2025-10-31 07:14:59.0	10192.67	8805.289	8.083	1146.98
2025-10-31 07:15:00.0	10200.335	8819.431	8.08	1147.44
