group	Date	Time	ID	meas_time	chamber	mode	H2O_pct	CO2_ppm	CH4_ppm	N2O_ppm	NH3_ppm	amb.press_mbar	starting_time
216	2022-07-15	13:12:44	5_2022-07-15_13_11	2022-07-15T13:12:44Z	5	Closechamber	2.29	434.131613959677	2.49206836557159	0.374782519701157	0.0511718350220039	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:12:51	5_2022-07-15_13_11	2022-07-15T13:12:51Z	5	Closechamber	2.26	429.015756087579	2.45344792306118	0.338142009412728	0.129936566400655	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:12:58	5_2022-07-15_13_11	2022-07-15T13:12:58Z	5	Closechamber	2.25	426.721227621483	2.44910485933504	0.352225063938619	0.0644501278772379	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:13:05	5_2022-07-15_13_11	2022-07-15T13:13:05Z	5	Closechamber	2.24	422.585924713584	2.66162029459902	0.346358428805237	0.0327332242225859	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:13:12	5_2022-07-15_13_11	2022-07-15T13:13:12Z	5	Closechamber	2.26	420.595457335789	2.32351135666053	0.354102721506036	0.0798035604665439	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:13:19	5_2022-07-15_13_11	2022-07-15T13:13:19Z	5	Closechamber	2.24	418.995499181669	2.48261047463175	0.350756955810147	0.0910392798690671	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:13:26	5_2022-07-15_13_11	2022-07-15T13:13:26Z	5	Closechamber	2.23	418.349186867137	2.40462309501892	0.313490845862739	0.0531860488902526	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:13:33	5_2022-07-15_13_11	2022-07-15T13:13:33Z	5	Closechamber	2.2	417.556237218814	2.53680981595092	0.323415132924335	0.206543967280164	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:13:40	5_2022-07-15_13_11	2022-07-15T13:13:40Z	5	Closechamber	2.26	416.881522406384	2.43912420708001	0.328115408225905	0.0920810313075506	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:13:47	5_2022-07-15_13_11	2022-07-15T13:13:47Z	5	Mixing	2.26	418.088807039083	2.5158583998363	0.335788827501535	0.0654798444853694	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:13:54	5_2022-07-15_13_11	2022-07-15T13:13:54Z	5	Mixing	2.29	415.873503223826	2.45420120765531	0.33937160986593	0.115648347149729	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:01	5_2022-07-15_13_11	2022-07-15T13:14:01Z	5	Mixing	2.36	424.119213437116	2.50512085210979	0.349139696845555	0.215075788611225	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:08	5_2022-07-15_13_11	2022-07-15T13:14:08Z	5	Interpolation	2.51	427.96184224023	2.60436967894143	0.355421068827572	0.300543645502103	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:15	5_2022-07-15_13_11	2022-07-15T13:14:15Z	5	Interpolation	2.58	440.761650585096	2.56723465407514	0.365428043522891	0.301786080886882	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:22	5_2022-07-15_13_11	2022-07-15T13:14:22Z	5	Interpolation	2.75	464.071979434447	2.50796915167095	0.401542416452442	0.252956298200514	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:29	5_2022-07-15_13_11	2022-07-15T13:14:29Z	5	Interpolation	2.89	499.958809597364	2.42302543507363	0.428998043455875	0.0669344042838019	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:36	5_2022-07-15_13_11	2022-07-15T13:14:36Z	5	Interpolation	2.99	539.707246675601	2.52654365529327	0.472425523141944	0.185547881661684	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:43	5_2022-07-15_13_11	2022-07-15T13:14:43Z	5	Interpolation	3.12	577.673410404624	2.63728323699422	0.580718414533443	0.13728323699422	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:50	5_2022-07-15_13_11	2022-07-15T13:14:50Z	5	Interpolation	3.21	612.408306643248	2.56121500154975	0.635189585701002	0.172538485380721	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:14:57	5_2022-07-15_13_11	2022-07-15T13:14:57Z	5	Interpolation	3.21	644.901332782312	2.56948031821469	0.726314701932018	0.0402934187416055	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:15:04	5_2022-07-15_13_11	2022-07-15T13:15:04Z	5	Interpolation	3.28	673.904052936311	2.3252688172043	0.77874276261373	0.1095947063689	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:15:11	5_2022-07-15_13_11	2022-07-15T13:15:11Z	5	Interpolation	3.25	699.214470284238	2.56330749354005	0.846821705426357	0.198449612403101	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:15:18	5_2022-07-15_13_11	2022-07-15T13:15:18Z	5	Interpolation	3.27	718.453427065026	2.46355835831696	0.908611599297012	0.256383748578518	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:15:25	5_2022-07-15_13_11	2022-07-15T13:15:25Z	5	Interpolation	3.29	742.518870850998	2.53851721642023	1.00775514424568	0.158204942611933	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:15:32	5_2022-07-15_13_11	2022-07-15T13:15:32Z	5	Interpolation	3.3	759.607032057911	2.55635987590486	1.03753877973113	0.0444674250258532	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:15:39	5_2022-07-15_13_11	2022-07-15T13:15:39Z	5	Interpolation	3.32	778.868431940422	2.46069507654117	1.13125775755068	0.191352916839057	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:15:46	5_2022-07-15_13_11	2022-07-15T13:15:46Z	5	Interpolation	3.28	796.071133167907	2.25289495450786	1.19685690653433	0.0423904052936311	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:15:53	5_2022-07-15_13_11	2022-07-15T13:15:53Z	5	Interpolation	3.28	811.79693961952	2.43382961124897	1.270264681555	0.142679900744417	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:00	5_2022-07-15_13_11	2022-07-15T13:16:00Z	5	Interpolation	3.29	824.630338124289	2.35652983145487	1.29531589287561	0.397063385378968	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:07	5_2022-07-15_13_11	2022-07-15T13:16:07Z	5	Interpolation	3.33	838.884866039102	2.434053998138	1.34840177924899	0.0920657908347988	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:14	5_2022-07-15_13_11	2022-07-15T13:16:14Z	5	Interpolation	3.33	854.970518257991	2.62439226233578	1.38998655218786	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:21	5_2022-07-15_13_11	2022-07-15T13:16:21Z	5	Interpolation	3.31	864.908470369221	2.46974868135278	1.42424242424242	0.081704416175406	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:28	5_2022-07-15_13_11	2022-07-15T13:16:28Z	5	Interpolation	3.33	878.61797869039	2.21578566256336	1.48443157132513	0.0941346850108617	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:35	5_2022-07-15_13_11	2022-07-15T13:16:35Z	5	Interpolation	3.31	887.475436963492	2.50904953976626	1.51380701210053	0.182025028441411	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:42	5_2022-07-15_13_11	2022-07-15T13:16:42Z	5	Interpolation	3.37	900.517437648763	2.3688295560385	1.553554796647	0.0848597743971851	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:49	5_2022-07-15_13_11	2022-07-15T13:16:49Z	5	Interpolation	3.37	910.607471799648	2.28500465693884	1.60312532339853	0.0600227672565456	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:16:56	5_2022-07-15_13_11	2022-07-15T13:16:56Z	5	Interpolation	3.33	916.385641874418	2.32129926554257	1.62697838005586	0.156201510292749	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:03	5_2022-07-15_13_11	2022-07-15T13:17:03Z	5	Interpolation	3.33	930.58860039309	2.52611978897279	1.64994310541016	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:10	5_2022-07-15_13_11	2022-07-15T13:17:10Z	5	Interpolation	3.35	943.000517330574	2.34557682359027	1.69073978272116	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:17	5_2022-07-15_13_11	2022-07-15T13:17:17Z	5	Interpolation	3.33	945.236371159615	2.27888693493328	1.68459708285921	0.18620047584566	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:24	5_2022-07-15_13_11	2022-07-15T13:17:24Z	5	Interpolation	3.35	950.936368339369	2.36937403000517	1.71960682876358	0.14692188308329	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:31	5_2022-07-15_13_11	2022-07-15T13:17:31Z	5	Interpolation	3.29	963.5921828146	2.29655671595492	1.73766932064936	0.120980250232654	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:38	5_2022-07-15_13_11	2022-07-15T13:17:38Z	5	Interpolation	3.33	976.931829936899	2.42888176269784	1.77769732078204	0.0258611772007862	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:45	5_2022-07-15_13_11	2022-07-15T13:17:45Z	5	Interpolation	3.35	991.908949818934	2.35695809622349	1.79824107604759	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:52	5_2022-07-15_13_11	2022-07-15T13:17:52Z	5	Interpolation	3.33	1000.51722354402	2.32543705389469	1.79135202234406	0.137581462708182	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:17:59	5_2022-07-15_13_11	2022-07-15T13:17:59Z	5	Interpolation	3.34	1010.15932133251	2.41568384026485	1.81481481481481	0.322780881440099	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:18:06	5_2022-07-15_13_11	2022-07-15T13:18:06Z	5	Interpolation	3.37	1014.76767049571	2.39884093966677	1.85884300941737	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:18:13	5_2022-07-15_13_11	2022-07-15T13:18:13Z	5	Interpolation	3.35	1024.32488360062	2.30625969994827	1.87946197620279	0.0434557682359027	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:18:20	5_2022-07-15_13_11	2022-07-15T13:18:20Z	5	Interpolation	3.38	1038.51169530118	2.35044504243428	1.90364313806665	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:18:27	5_2022-07-15_13_11	2022-07-15T13:18:27Z	5	Interpolation	3.36	1042.5082781457	2.53828642384106	1.88503725165563	0.35182119205298	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:18:34	5_2022-07-15_13_11	2022-07-15T13:18:34Z	5	Interpolation	3.35	1046.11484738748	2.36523538541128	1.93181583031557	0.276254526642525	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:18:41	5_2022-07-15_13_11	2022-07-15T13:18:41Z	5	Interpolation	3.36	1053.31125827815	2.41825331125828	1.8763451986755	0.0227649006622517	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:18:48	5_2022-07-15_13_11	2022-07-15T13:18:48Z	5	Interpolation	3.36	1058.89900662252	2.40169701986755	1.90769867549669	0.0403559602649007	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:18:55	5_2022-07-15_13_11	2022-07-15T13:18:55Z	5	Interpolation	3.38	1068.59863382323	2.38252949699855	1.92216932312151	0.203891533843925	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:02	5_2022-07-15_13_11	2022-07-15T13:19:02Z	5	Interpolation	3.33	1076.12496120823	2.23544015723596	1.93110582393711	0.131374780179994	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:09	5_2022-07-15_13_11	2022-07-15T13:19:09Z	5	Interpolation	3.39	1082.99347893593	2.13745989028051	1.96056308870717	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:16	5_2022-07-15_13_11	2022-07-15T13:19:16Z	5	Interpolation	3.39	1085.55015008798	2.34861815547045	1.92350688334541	0.201842459372736	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:23	5_2022-07-15_13_11	2022-07-15T13:19:23Z	5	Interpolation	3.41	1094.24371052904	2.24453877212962	1.95310073506574	0.0641888394243711	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:30	5_2022-07-15_13_11	2022-07-15T13:19:30Z	5	Interpolation	3.34	1099.20339333747	2.12807779846886	1.92727084626526	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:37	5_2022-07-15_13_11	2022-07-15T13:19:37Z	5	Interpolation	3.34	1103.4864473412	2.24498241258018	1.9487895716946	0.16035588661287	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:44	5_2022-07-15_13_11	2022-07-15T13:19:44Z	5	Interpolation	3.38	1107.93831504864	2.22831711860898	1.96563858414407	0.238045953218795	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:51	5_2022-07-15_13_11	2022-07-15T13:19:51Z	5	Interpolation	3.35	1111.28815312985	2.2100362131402	1.95581996896017	0.0217278841179514	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:19:58	5_2022-07-15_13_11	2022-07-15T13:19:58Z	5	Interpolation	3.38	1109.84268267439	2.27178637963155	1.95922169323122	0.190436762575036	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:20:05	5_2022-07-15_13_11	2022-07-15T13:20:05Z	5	End_M_snt	3.38	1117.06685986338	2.28524115090044	1.92682674394535	0.0227696129165804	1015.87700703014	2022-07-15T13:11:34Z
